Nazwa,Liczba wierzchołków,Liczba klas równoważności,Entropia Shannona,Płeć,Kierunek,nr.ankiety
20250412_135118,9,3,12.919685,m,s,2
20250412_135254,7,3,9.651484,k,h,3
20250412_135426,9,3,11.01955,k,s,4
20250412_140232,18,4,27.004902,m,h,5
20250412_140430,13,3,14.821504,k,h,6
20250412_140834,16,4,26.39036,k,s,7
20250412_141344,15,3,18.464393,m,h,9
20250412_141514,6,3,9.509775,k,s,10
20250412_141732,13,3,14.821504,k,h,11
20250412_141908,11,2,4.834467,m,s,12
20250412_142019,9,2,4.529325,k,h,13
20250412_142212,12,4,19.368066,k,h,14
20250412_143056,28,6,41.412488,m,s,15
20250412_143742,7,5,14.896597,m,s,16
20250412_144432,14,9,41.302969,k,s,17
20250412_144728,14,3,16.083688,m,h,18
20250412_151826,18,16,71.05865,m,s,8
20250421_223409,19,3,26.292347,m,s,19
20250421_224413,24,6,54.290494,k,s,20
20250421_224739,6,3,7.509775,k,s,21
20250421_225224,12,3,15.368066,k,h,22
20250421_225517,10,3,11.567796,k,h,23
20250421_225843,12,3,15.368066,k,s,24
20250421_230009,6,2,5.509775,k,s,25
20250421_230417,12,3,17.509775,m,h,26
20250421_230857,16,4,24.025832,m,s,28
20250421_231151,10,6,23.219281,k,h,29
20250423_132646,26,8,45.152783,k,s,30
20250423_132912,8,3,10.39036,m,s,31
20250423_133015,16,3,23.635472,m,s,32
20250423_133102,15,4,25.583809,m,s,33
20250423_133136,10,3,12.954618,m,h,34
20250423_133240,21,5,35.378062,k,h,35
20250423_133350,12,4,19.800269,k,h,27
20250423_225820,9,3,13.774438,m,h,41
20250513_204637,11,2,4.8344668,k,h,36
20250513_205148,33,4,52.169502,m,s,37
20250513_205502,16,4,18.980449,m,s,38
20250513_205736,17,5,28.267587,k,s,39
20250513_210323,36,4,33.62621,k,h,42
20250513_210632,19,4,27.691072,m,s,43
20250513_210840,10,3,13.709505,k,s,44
20250513_212241,14,4,22.54808141,m,s,45
20250513_213753,26,6,49.39868876,k,s,46
20250513_213952,8,2,7.635472023,k,s,47
20250519_194921,28,12,87.09616281,k,s,63
20250519_214819,10,6,23.70950594,k,s,48
20250519_215800,34,4,56.66514541,m,h,49
20250519_215933,8,2,6.490224996,k,h,50
20250519_220135,12,3,19.01955001,k,s,51
20250519_220609,13,9,39.35082883,k,s,52
20250519_220722,6,3,7.509775004,k,s,53
20250519_220907,8,6,20.0,k,s,54
20250519_220950,5,2,4.854752972,m,s,55
20250519_221550,23,5,33.28703749,m,s,56
20250519_221917,14,4,21.30296891,k,s,57
20250519_222424,16,6,37.63547202,m,s,58
20250526_140814,12,3,15.01955001,m,h,58
20250526_141301,16,4,27.98398757,m,h,59
20250526_141939,16,4,28.0,m,h,60
